Player,Salary,Salary adjusted by inflation,Season
Jordan Bone,135350,135350,2020/21
Jaylen Hoard,129209,129209,2020/21
Justin Anderson,125000,125000,2020/21
Amida Brimah,123056,123056,2020/21
Didi Louzada,123056,123056,2020/21
Troy Williams,122741,122741,2020/21
James Nunnally,107674,107674,2020/21
Demetrius Jackson,92857,92857,2020/21
Dakota Mathias,86132,86132,2020/21
Malik Fitts,61528,61528,2020/21
Jeremiah Martin,58452,58452,2020/21
Jerian Grant,50000,50000,2020/21
Louis King,49222,49222,2020/21
Cameron Oliver,43070,43070,2020/21
Cam Reynolds,33299,33299,2020/21
Tyler Hall,25000,25000,2020/21
Andrew White,25000,25000,2020/21
Elijah Bryant,24611,24611,2020/21
Caleb Homesley,20000,20000,2020/21
Stephen Curry,40231758,40491547,2019/20
Russell Westbrook,38506482,38755131,2019/20
Chris Paul,38506482,38755131,2019/20
James Harden,38199000,38445663,2019/20
John Wall,38199000,38445663,2019/20
LeBron James,37436858,37678600,2019/20
Kevin Durant,37199000,37439206,2019/20
Blake Griffin,34449964,34672418,2019/20
Kyle Lowry,33296296,33511301,2019/20
Paul George,33005556,33218683,2019/20
Kemba Walker,32742000,32953425,2019/20
Klay Thompson,32742000,32953425,2019/20
Kawhi Leonard,32742000,32953425,2019/20
Jimmy Butler,32742000,32953425,2019/20
Tobias Harris,32742000,32953425,2019/20
Gordon Hayward,32700690,32911849,2019/20
Mike Conley,32511623,32721561,2019/20
Kyrie Irving,31742000,31946968,2019/20
Khris Middleton,30603448,30801064,2019/20
Paul Millsap,30350000,30545979,2019/20
Damian Lillard,29802321,29994764,2019/20
Kevin Love,28942830,29129723,2019/20
Nikola Vucevic,28000000,28180805,2019/20
Al Horford,28000000,28180805,2019/20
DeMar DeRozan,27739975,27919101,2019/20
CJ McCollum,27556959,27734903,2019/20
Nikola Jokic,27504630,27682236,2019/20
Andrew Wiggins,27504630,27682236,2019/20
Joel Embiid,27504630,27682236,2019/20
Kristaps Porzingis,27285000,27461188,2019/20
D'Angelo Russell,27285000,27461188,2019/20
Karl-Anthony Towns,27285000,27461188,2019/20
Devin Booker,27285000,27461188,2019/20
Otto Porter,27250576,27426541,2019/20
Anthony Davis,27093019,27267967,2019/20
Andre Drummond,27093018,27267966,2019/20
Hassan Whiteside,27093018,27267966,2019/20
Bradley Beal,27093018,27267966,2019/20
Jrue Holiday,26131111,26299848,2019/20
LaMarcus Aldridge,26000000,26167890,2019/20
Giannis Antetokounmpo,25842697,26009571,2019/20
Steven Adams,25842697,26009571,2019/20
Marc Gasol,25595700,25760979,2019/20
Nicolas Batum,25565217,25730300,2019/20
Rudy Gobert,25258427,25421529,2019/20
Harrison Barnes,24147727,24303656,2019/20
Serge Ibaka,23271604,23421876,2019/20
Danilo Gallinari,22615559,22761595,2019/20
Victor Oladipo,21000000,21135603,2019/20
Tim Hardaway Jr,20025127,20154435,2019/20
Malcolm Brogdon,20000000,20129146,2019/20
Terry Rozier,19894737,20023203,2019/20
Aaron Gordon,19863636,19991902,2019/20
Zach LaVine,19500000,19625917,2019/20
Kent Bazemore,19269663,19394093,2019/20
Goran Dragic,19217900,19341996,2019/20
Jeff Teague,19000000,19122689,2019/20
Evan Turner,18606556,18726704,2019/20
Tristan Thompson,18539130,18658843,2019/20
Draymond Green,18539130,18658843,2019/20
Gary Harris,18189286,18306740,2019/20
Myles Turner,18000000,18116231,2019/20
Julius Randle,18000000,18116231,2019/20
Derrick Favors,17650000,17763971,2019/20
Andre Iguodala,17185185,17296155,2019/20
Evan Fournier,17150000,17260743,2019/20
Bismack Biyombo,17000000,17109774,2019/20
Bojan Bogdanovic,17000000,17109774,2019/20
Clint Capela,16896552,17005658,2019/20
Gorgui Dieng,16229213,16334010,2019/20
Ricky Rubio,16200000,16304608,2019/20
Jonas Valanciunas,16000000,16103317,2019/20
Brandon Knight,15643750,15744766,2019/20
Eric Bledsoe,15625000,15725895,2019/20
Kelly Oubre,15625000,15725895,2019/20
