Team,Season,W/L%,PER_Unit_1,PER_Unit_2,PER_Unit_combined,PER_Unit_1_Rank,PER_Unit_2_Rank,PER_Unit_combined_Rank,DRtg_Unit_1,DRtg_Unit_2,DRtg_Unit_combined,DRtg_Unit_1_Rank,DRtg_Unit_2_Rank,DRtg_Unit_combined_Rank
Milwaukee Bucks,2001/02,0.5,88.0,62.4,150.4,5.0,18.0,6.0,539.0,530.0,1069.0,5.0,9.0,5.0
Los Angeles Clippers,2001/02,0.476,81.6,63.2,144.8,12.0,15.0,14.0,527.0,540.0,1067.0,12.0,4.0,6.0
Washington Wizards,2001/02,0.451,80.7,69.6,150.3,14.0,8.0,7.0,534.0,528.0,1062.0,7.0,10.0,7.0
Phoenix Suns,2001/02,0.439,74.9,63.2,138.10000000000002,23.0,15.0,22.0,520.0,523.0,1043.0,13.0,12.0,14.0
Miami Heat,2001/02,0.439,76.0,51.1,127.1,22.0,27.0,28.0,501.0,502.0,1003.0,23.0,20.0,24.0
Atlanta Hawks,2001/02,0.402,77.4,53.9,131.3,19.0,25.0,26.0,531.0,538.0,1069.0,9.0,5.0,5.0
New York Knicks,2001/02,0.366,74.3,59.1,133.4,24.0,21.0,24.0,533.0,523.0,1056.0,8.0,12.0,9.0
Cleveland Cavaliers,2001/02,0.354,83.9,57.6,141.5,7.0,22.0,19.0,544.0,534.0,1078.0,1.0,7.0,4.0
Houston Rockets,2001/02,0.341,80.3,63.900000000000006,144.2,15.0,12.0,16.0,543.0,544.0,1087.0,2.0,3.0,2.0
Denver Nuggets,2001/02,0.3289999999999999,71.4,72.7,144.10000000000002,26.0,4.0,17.0,537.0,547.0,1084.0,6.0,2.0,3.0
Memphis Grizzlies,2001/02,0.28,73.39999999999999,60.0,133.39999999999998,25.0,19.0,25.0,531.0,531.0,1062.0,9.0,8.0,7.0
Golden State Warriors,2001/02,0.256,79.30000000000001,63.400000000000006,142.70000000000002,16.0,14.0,18.0,544.0,540.0,1084.0,1.0,4.0,3.0
Chicago Bulls,2001/02,0.256,67.2,63.6,130.8,27.0,13.0,27.0,541.0,537.0,1078.0,3.0,6.0,4.0
San Antonio Spurs,2000/01,0.7070000000000001,90.2,66.4,156.60000000000002,4.0,10.0,3.0,489.0,495.0,984.0,20.0,23.0,24.0
Los Angeles Lakers,2000/01,0.6829999999999999,93.7,60.5,154.2,2.0,16.0,6.0,523.0,531.0,1054.0,10.0,5.0,5.0
Philadelphia 76ers,2000/01,0.6829999999999999,80.2,74.5,154.7,16.0,3.0,5.0,493.0,497.0,990.0,19.0,21.0,23.0
Sacramento Kings,2000/01,0.6709999999999999,88.4,68.3,156.7,6.0,7.0,2.0,498.0,502.0,1000.0,17.0,20.0,21.0
Utah Jazz,2000/01,0.6459999999999999,90.3,61.400000000000006,151.7,3.0,14.0,8.0,513.0,514.0,1027.0,15.0,15.0,16.0
Dallas Mavericks,2000/01,0.6459999999999999,88.5,61.3,149.8,5.0,15.0,12.0,512.0,517.0,1029.0,16.0,13.0,15.0
Milwaukee Bucks,2000/01,0.634,94.3,56.4,150.7,1.0,23.0,9.0,528.0,518.0,1046.0,6.0,12.0,9.0
Phoenix Suns,2000/01,0.622,83.2,45.1,128.3,11.0,29.0,26.0,489.0,491.0,980.0,20.0,24.0,25.0
Portland Trail Blazers,2000/01,0.61,83.5,72.9,156.4,10.0,4.0,4.0,512.0,504.0,1016.0,16.0,19.0,20.0
Miami Heat,2000/01,0.61,78.5,59.9,138.4,19.0,17.0,19.0,493.0,497.0,990.0,19.0,21.0,23.0
New York Knicks,2000/01,0.585,82.69999999999999,59.5,142.2,12.0,18.0,16.0,489.0,495.0,984.0,20.0,23.0,24.0
Minnesota Timberwolves,2000/01,0.573,88.3,59.3,147.6,7.0,19.0,13.0,517.0,520.0,1037.0,13.0,10.0,12.0
Toronto Raptors,2000/01,0.573,82.4,77.3,159.7,13.0,1.0,1.0,516.0,519.0,1035.0,14.0,11.0,14.0
Charlotte Hornets,2000/01,0.561,79.1,67.0,146.1,18.0,9.0,14.0,497.0,496.0,993.0,18.0,22.0,22.0
Houston Rockets,2000/01,0.5489999999999999,77.3,75.5,152.8,20.0,2.0,7.0,525.0,519.0,1044.0,8.0,11.0,11.0
Seattle SuperSonics,2000/01,0.537,84.60000000000001,65.4,150.0,8.0,12.0,10.0,526.0,533.0,1059.0,7.0,3.0,3.0
Orlando Magic,2000/01,0.524,81.1,54.0,135.1,14.0,27.0,22.0,513.0,512.0,1025.0,15.0,16.0,17.0
Indiana Pacers,2000/01,0.5,79.5,56.7,136.2,17.0,22.0,20.0,513.0,505.0,1018.0,15.0,18.0,19.0
Denver Nuggets,2000/01,0.488,83.8,66.1,149.89999999999998,9.0,11.0,11.0,530.0,529.0,1059.0,4.0,6.0,3.0
Boston Celtics,2000/01,0.439,75.7,59.0,134.7,22.0,20.0,23.0,520.0,516.0,1036.0,11.0,14.0,13.0
Detroit Pistons,2000/01,0.39,70.9,69.5,140.4,28.0,6.0,18.0,513.0,507.0,1020.0,15.0,17.0,18.0
Los Angeles Clippers,2000/01,0.3779999999999999,73.8,71.3,145.1,25.0,5.0,15.0,523.0,526.0,1049.0,10.0,8.0,8.0
Cleveland Cavaliers,2000/01,0.366,80.3,54.4,134.7,15.0,26.0,23.0,524.0,528.0,1052.0,9.0,7.0,7.0
New Jersey Nets,2000/01,0.317,77.1,58.4,135.5,21.0,21.0,21.0,530.0,528.0,1058.0,4.0,7.0,4.0
Atlanta Hawks,2000/01,0.305,73.9,51.7,125.6,24.0,28.0,28.0,519.0,526.0,1045.0,12.0,8.0,10.0
Vancouver Grizzlies,2000/01,0.28,72.5,55.7,128.2,27.0,24.0,27.0,529.0,524.0,1053.0,5.0,9.0,6.0
Washington Wizards,2000/01,0.2319999999999999,73.4,67.4,140.8,26.0,8.0,17.0,536.0,547.0,1083.0,2.0,1.0,1.0
Golden State Warriors,2000/01,0.207,70.3,63.900000000000006,134.2,29.0,13.0,24.0,539.0,532.0,1071.0,1.0,4.0,2.0
Chicago Bulls,2000/01,0.183,75.1,55.1,130.2,23.0,25.0,25.0,535.0,536.0,1071.0,3.0,2.0,2.0
Los Angeles Lakers,1999/00,0.8170000000000001,91.7,56.0,147.7,2.0,24.0,12.0,492.0,492.0,984.0,25.0,25.0,26.0
Portland Trail Blazers,1999/00,0.72,87.6,72.1,159.7,5.0,3.0,2.0,502.0,505.0,1007.0,21.0,21.0,22.0
Indiana Pacers,1999/00,0.6829999999999999,85.8,67.9,153.7,9.0,11.0,3.0,518.0,518.0,1036.0,16.0,14.0,16.0
Utah Jazz,1999/00,0.6709999999999999,92.4,53.7,146.10000000000002,1.0,27.0,15.0,516.0,511.0,1027.0,17.0,18.0,17.0
San Antonio Spurs,1999/00,0.6459999999999999,84.30000000000001,68.1,152.4,11.0,10.0,5.0,493.0,494.0,987.0,24.0,24.0,25.0
Phoenix Suns,1999/00,0.6459999999999999,87.1,62.2,149.3,7.0,18.0,8.0,495.0,496.0,991.0,23.0,23.0,24.0
Miami Heat,1999/00,0.634,78.9,74.8,153.7,17.0,2.0,3.0,502.0,509.0,1011.0,21.0,19.0,20.0
Minnesota Timberwolves,1999/00,0.61,87.4,61.0,148.4,6.0,19.0,10.0,520.0,517.0,1037.0,15.0,15.0,15.0
New York Knicks,1999/00,0.61,75.1,60.6,135.7,25.0,20.0,23.0,507.0,501.0,1008.0,19.0,22.0,21.0
Charlotte Hornets,1999/00,0.598,82.8,78.1,160.89999999999998,12.0,1.0,1.0,506.0,508.0,1014.0,20.0,20.0,19.0
Philadelphia 76ers,1999/00,0.598,74.3,70.7,145.0,26.0,6.0,17.0,501.0,501.0,1002.0,22.0,22.0,23.0
Seattle SuperSonics,1999/00,0.5489999999999999,82.7,59.4,142.1,13.0,22.0,19.0,524.0,522.0,1046.0,12.0,13.0,13.0
Toronto Raptors,1999/00,0.5489999999999999,84.39999999999999,65.1,149.5,10.0,14.0,7.0,520.0,535.0,1055.0,15.0,6.0,11.0
Sacramento Kings,1999/00,0.537,81.1,71.6,152.7,16.0,4.0,4.0,509.0,513.0,1022.0,18.0,17.0,18.0
Detroit Pistons,1999/00,0.512,89.3,59.9,149.2,3.0,21.0,9.0,525.0,534.0,1059.0,11.0,7.0,9.0
Milwaukee Bucks,1999/00,0.512,86.9,59.2,146.10000000000002,8.0,23.0,15.0,541.0,536.0,1077.0,4.0,5.0,5.0
Orlando Magic,1999/00,0.5,76.8,67.5,144.3,21.0,12.0,18.0,507.0,515.0,1022.0,19.0,16.0,18.0
Dallas Mavericks,1999/00,0.488,88.3,62.8,151.1,4.0,16.0,6.0,528.0,542.0,1070.0,10.0,3.0,7.0
Boston Celtics,1999/00,0.427,81.4,55.9,137.3,15.0,25.0,22.0,525.0,534.0,1059.0,11.0,7.0,9.0
Denver Nuggets,1999/00,0.427,78.1,69.1,147.2,18.0,9.0,13.0,529.0,533.0,1062.0,9.0,8.0,8.0
Houston Rockets,1999/00,0.415,75.8,70.6,146.39999999999998,23.0,7.0,14.0,532.0,525.0,1057.0,7.0,11.0,10.0
Cleveland Cavaliers,1999/00,0.39,77.6,54.7,132.3,19.0,26.0,25.0,521.0,523.0,1044.0,14.0,12.0,14.0
New Jersey Nets,1999/00,0.3779999999999999,82.4,65.9,148.3,14.0,13.0,11.0,531.0,531.0,1062.0,8.0,9.0,8.0
Washington Wizards,1999/00,0.354,75.6,69.69999999999999,145.29999999999998,24.0,8.0,16.0,542.0,530.0,1072.0,3.0,10.0,6.0
Atlanta Hawks,1999/00,0.341,77.0,62.7,139.7,20.0,17.0,21.0,540.0,542.0,1082.0,5.0,3.0,4.0
Vancouver Grizzlies,1999/00,0.268,76.4,53.5,129.9,22.0,28.0,26.0,543.0,540.0,1083.0,2.0,4.0,3.0
Golden State Warriors,1999/00,0.2319999999999999,69.80000000000001,71.3,141.10000000000002,28.0,5.0,20.0,538.0,547.0,1085.0,6.0,2.0,2.0
Chicago Bulls,1999/00,0.207,58.2,49.7,107.9,29.0,29.0,27.0,523.0,525.0,1048.0,13.0,11.0,12.0
Los Angeles Clippers,1999/00,0.183,70.1,63.1,133.2,27.0,15.0,24.0,550.0,550.0,1100.0,1.0,1.0,1.0
