Team,Season,W/L%,PER_Unit_1,PER_Unit_2,PER_Unit_combined,PER_Unit_1_Rank,PER_Unit_2_Rank,PER_Unit_combined_Rank,DRtg_Unit_1,DRtg_Unit_2,DRtg_Unit_combined,DRtg_Unit_1_Rank,DRtg_Unit_2_Rank,DRtg_Unit_combined_Rank
Denver Nuggets,2017/18,0.561,84.1,73.9,158.0,13.0,5.0,5.0,557.0,551.0,1108.0,4.0,8.0,6.0
Miami Heat,2017/18,0.537,71.5,79.6,151.1,25.0,2.0,10.0,538.0,524.0,1062.0,15.0,21.0,19.0
Milwaukee Bucks,2017/18,0.537,88.9,58.8,147.70000000000002,7.0,26.0,15.0,547.0,555.0,1102.0,10.0,6.0,10.0
Washington Wizards,2017/18,0.524,76.5,72.7,149.2,19.0,8.0,13.0,541.0,549.0,1090.0,12.0,10.0,13.0
Los Angeles Clippers,2017/18,0.512,87.5,69.39999999999999,156.89999999999998,9.0,11.0,7.0,547.0,556.0,1103.0,10.0,5.0,9.0
Detroit Pistons,2017/18,0.476,74.8,66.6,141.39999999999998,21.0,17.0,24.0,535.0,548.0,1083.0,16.0,11.0,15.0
Charlotte Hornets,2017/18,0.439,86.4,57.0,143.4,11.0,29.0,21.0,543.0,552.0,1095.0,11.0,7.0,11.0
Los Angeles Lakers,2017/18,0.427,73.6,73.89999999999999,147.5,22.0,6.0,16.0,539.0,538.0,1077.0,14.0,14.0,17.0
New York Knicks,2017/18,0.354,76.2,68.1,144.3,20.0,13.0,19.0,556.0,555.0,1111.0,5.0,6.0,4.0
Brooklyn Nets,2017/18,0.341,72.7,70.4,143.10000000000002,24.0,10.0,22.0,556.0,550.0,1106.0,5.0,9.0,8.0
Chicago Bulls,2017/18,0.3289999999999999,67.5,64.1,131.6,28.0,19.0,28.0,558.0,552.0,1110.0,3.0,7.0,5.0
Sacramento Kings,2017/18,0.3289999999999999,68.6,72.3,140.89999999999998,26.0,9.0,26.0,557.0,557.0,1114.0,4.0,4.0,3.0
Orlando Magic,2017/18,0.305,79.8,67.0,146.8,17.0,15.0,17.0,555.0,548.0,1103.0,6.0,11.0,9.0
Dallas Mavericks,2017/18,0.293,68.1,81.3,149.39999999999998,27.0,1.0,12.0,552.0,540.0,1092.0,9.0,13.0,12.0
Atlanta Hawks,2017/18,0.293,78.7,65.1,143.8,18.0,18.0,20.0,547.0,560.0,1107.0,10.0,2.0,7.0
Memphis Grizzlies,2017/18,0.268,72.8,61.3,134.1,23.0,23.0,27.0,553.0,558.0,1111.0,8.0,3.0,4.0
Phoenix Suns,2017/18,0.256,64.7,63.3,128.0,29.0,21.0,29.0,570.0,560.0,1130.0,1.0,2.0,1.0
Golden State Warriors,2016/17,0.8170000000000001,100.4,64.5,164.9,1.0,16.0,1.0,518.0,525.0,1043.0,23.0,20.0,27.0
